# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
TcIL3000.11.10080	TcIL3000.11.10080	TcIL3000.11.10080.1	protein_coding	0	0	0	22	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	12
TcIL3000.11.10090	TcIL3000.11.10090	TcIL3000.11.10090.1	protein_coding	0	5	1	9	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	5	1
TcIL3000.11.10100	TcIL3000.11.10100	TcIL3000.11.10100.1	protein_coding	0	0	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TcIL3000.11.10110	TcIL3000.11.10110	TcIL3000.11.10110.1	protein_coding	0	0	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TcIL3000.11.10120	TcIL3000.11.10120	TcIL3000.11.10120.1	protein_coding	0	0	0	29	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	20
TcIL3000.11.10130	TcIL3000.11.10130	TcIL3000.11.10130.1	protein_coding	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
TcIL3000.11.10140	TcIL3000.11.10140	TcIL3000.11.10140.1	protein_coding	0	7	2	39	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	7	35
TcIL3000.11.10150	TcIL3000.11.10150	TcIL3000.11.10150.1	protein_coding	0	2	0	50	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	2	19
TcIL3000.11.10160	TcIL3000.11.10160	TcIL3000.11.10160.1	protein_coding	2	0	1	53	0	0	0	0	0	39	2	0	0	1	0	0	0	0	0	0	0	0	0	14
TcIL3000.11.10170	TcIL3000.11.10170	TcIL3000.11.10170.1	protein_coding	0	2	2	36	0	0	0	0	0	31	0	0	0	2	0	0	0	0	0	0	0	0	2	5
TcIL3000.11.10180	TcIL3000.11.10180	TcIL3000.11.10180.1	protein_coding	0	0	2	32	0	0	0	0	0	19	0	0	0	2	0	0	0	0	0	0	0	0	0	13
TcIL3000.11.10190	TcIL3000.11.10190	TcIL3000.11.10190.1	protein_coding	0	1	0	30	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	16
TcIL3000.11.1020	TcIL3000.11.1020	TcIL3000.11.1020.1	protein_coding	0	12	2	63	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	12	63
TcIL3000.11.10200	TcIL3000.11.10200	TcIL3000.11.10200.1	protein_coding	0	0	0	24	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	18
TcIL3000.11.10210	TcIL3000.11.10210	TcIL3000.11.10210.1	protein_coding	0	0	0	34	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	27
TcIL3000.11.10220	TcIL3000.11.10220	TcIL3000.11.10220.1	protein_coding	0	1	3	34	0	0	0	0	0	13	0	0	0	3	0	0	0	0	0	0	0	0	1	21
TcIL3000.11.10230	TcIL3000.11.10230	TcIL3000.11.10230.1	protein_coding	0	2	0	54	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	2	37
TcIL3000.11.10240	TcIL3000.11.10240	TcIL3000.11.10240.1	protein_coding	0	4	5	52	0	0	0	0	0	20	0	0	0	5	0	0	0	0	0	0	0	0	4	32
TcIL3000.11.10260	TcIL3000.11.10260	TcIL3000.11.10260.1	protein_coding	0	3	0	57	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	3	21
TcIL3000.11.10270	TcIL3000.11.10270	TcIL3000.11.10270.1	protein_coding	0	4	7	59	0	0	0	0	0	37	0	0	0	7	0	0	0	0	0	0	0	0	4	22
TcIL3000.11.10280	TcIL3000.11.10280	TcIL3000.11.10280.1	protein_coding	0	1	0	46	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1	24
TcIL3000.11.10290	TcIL3000.11.10290	TcIL3000.11.10290.1	protein_coding	0	2	1	53	0	0	0	0	0	21	0	0	0	1	0	0	0	0	0	0	0	0	2	32
TcIL3000.11.1030	TcIL3000.11.1030	TcIL3000.11.1030.1	protein_coding	2	27	15	42	0	0	0	0	0	36	2	0	0	15	0	0	0	0	0	1	0	0	27	6
TcIL3000.11.10300	TcIL3000.11.10300	TcIL3000.11.10300.1	protein_coding	0	0	0	64	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	39
TcIL3000.11.10330	TcIL3000.11.10330	TcIL3000.11.10330.1	protein_coding	1	1	0	43	0	0	0	0	0	17	1	0	0	0	0	0	0	0	0	1	0	0	1	26
TcIL3000.11.10340	TcIL3000.11.10340	TcIL3000.11.10340.1	protein_coding	0	0	2	48	0	0	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	0	0	28
TcIL3000.11.10350	TcIL3000.11.10350	TcIL3000.11.10350.1	protein_coding	0	0	1	55	0	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	0	22
TcIL3000.11.10360	TcIL3000.11.10360	TcIL3000.11.10360.1	protein_coding	0	3	1	48	0	0	0	0	0	29	0	0	0	1	0	0	0	0	0	0	0	0	3	19
TcIL3000.11.10370	TcIL3000.11.10370	TcIL3000.11.10370.1	protein_coding	0	10	5	38	0	0	0	0	0	18	0	0	0	5	0	0	0	0	0	0	0	0	10	20
TcIL3000.11.10390	TcIL3000.11.10390	TcIL3000.11.10390.1	protein_coding	0	0	1	41	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	30
TcIL3000.11.1040	TcIL3000.11.1040	TcIL3000.11.1040.1	protein_coding	0	38	20	75	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	38	75
TcIL3000.11.10400	TcIL3000.11.10400	TcIL3000.11.10400.1	protein_coding	0	0	1	39	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	30
TcIL3000.11.10410	TcIL3000.11.10410	TcIL3000.11.10410.1	protein_coding	1	0	0	49	0	0	0	0	0	26	1	0	0	0	0	0	0	0	0	0	0	0	0	23
TcIL3000.11.10420	TcIL3000.11.10420	TcIL3000.11.10420.1	protein_coding	0	1	0	35	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	1	6
TcIL3000.11.10430	TcIL3000.11.10430	TcIL3000.11.10430.1	protein_coding	0	2	2	40	0	0	0	0	0	29	0	0	0	2	0	0	0	0	0	0	0	0	2	11
TcIL3000.11.10440	TcIL3000.11.10440	TcIL3000.11.10440.1	protein_coding	0	7	6	44	0	0	0	0	0	27	0	0	0	6	0	0	0	0	0	0	0	0	7	17
TcIL3000.11.10450	TcIL3000.11.10450	TcIL3000.11.10450.1	protein_coding	0	1	0	74	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	1	29
TcIL3000.11.10460	TcIL3000.11.10460	TcIL3000.11.10460.1	protein_coding	0	2	1	84	0	0	0	0	0	55	0	0	0	1	0	0	0	0	0	0	0	0	2	29
TcIL3000.11.10480	TcIL3000.11.10480	TcIL3000.11.10480.1	protein_coding	0	14	5	72	0	0	0	0	0	47	0	0	0	5	0	0	0	0	0	0	0	0	14	25
TcIL3000.11.10500	TcIL3000.11.10500	TcIL3000.11.10500.1	protein_coding	0	2	7	73	0	0	0	0	0	56	0	0	0	7	0	0	0	0	0	0	0	0	2	17
TcIL3000.11.10510	TcIL3000.11.10510	TcIL3000.11.10510.1	protein_coding	0	0	0	75	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	63
TcIL3000.11.10520	TcIL3000.11.10520	TcIL3000.11.10520.1	protein_coding	0	0	0	69	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	54
TcIL3000.11.10530	TcIL3000.11.10530	TcIL3000.11.10530.1	protein_coding	0	0	0	53	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	32
TcIL3000.11.10540	TcIL3000.11.10540	TcIL3000.11.10540.1	protein_coding	0	3	0	38	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	3	12
TcIL3000.11.10550	TcIL3000.11.10550	TcIL3000.11.10550.1	protein_coding	0	0	0	45	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	27
TcIL3000.11.10560	TcIL3000.11.10560	TcIL3000.11.10560.1	protein_coding	0	2	1	51	0	0	0	0	0	37	0	0	0	1	0	0	0	0	0	0	0	0	2	14
TcIL3000.11.10570	TcIL3000.11.10570	TcIL3000.11.10570.1	protein_coding	0	0	0	65	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	17
TcIL3000.11.10580	TcIL3000.11.10580	TcIL3000.11.10580.1	protein_coding	0	2	1	64	0	0	0	0	0	46	0	0	0	1	0	0	0	0	0	0	0	0	2	18
TcIL3000.11.10590	TcIL3000.11.10590	TcIL3000.11.10590.1	protein_coding	0	4	0	67	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	4	32
TcIL3000.11.1060	TcIL3000.11.1060	TcIL3000.11.1060.1	protein_coding	0	2	0	75	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	2	0
TcIL3000.11.10600	TcIL3000.11.10600	TcIL3000.11.10600.1	protein_coding	0	2	0	74	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	2	50
TcIL3000.11.10610	TcIL3000.11.10610	TcIL3000.11.10610.1	protein_coding	2	4	3	61	0	0	0	0	0	11	2	0	0	3	0	0	0	0	0	0	0	0	4	50
TcIL3000.11.10620	TcIL3000.11.10620	TcIL3000.11.10620.1	protein_coding	0	0	0	29	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	25
TcIL3000.11.10630	TcIL3000.11.10630	TcIL3000.11.10630.1	protein_coding	0	1	0	29	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	25
TcIL3000.11.10640	TcIL3000.11.10640	TcIL3000.11.10640.1	protein_coding	1	0	1	23	0	0	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	19
TcIL3000.11.10650	TcIL3000.11.10650	TcIL3000.11.10650.1	protein_coding	0	0	0	17	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	4
TcIL3000.11.10660	TcIL3000.11.10660	TcIL3000.11.10660.1	protein_coding	0	0	0	28	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	4
TcIL3000.11.10670	TcIL3000.11.10670	TcIL3000.11.10670.1	protein_coding	0	7	10	21	0	0	0	0	0	17	0	0	0	10	0	0	0	0	0	0	0	0	7	4
TcIL3000.11.10730	TcIL3000.11.10730	TcIL3000.11.10730.1	protein_coding	0	2	0	46	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	2	23
TcIL3000.11.10740	TcIL3000.11.10740	TcIL3000.11.10740.1	protein_coding	1	7	4	80	0	0	0	0	0	61	1	0	0	4	0	0	0	0	0	0	0	0	7	19
TcIL3000.11.10750	TcIL3000.11.10750	TcIL3000.11.10750.1	protein_coding	0	1	1	85	0	0	0	0	0	45	0	0	0	1	0	0	0	0	0	0	0	0	1	40
TcIL3000.11.10760	TcIL3000.11.10760	TcIL3000.11.10760.1	protein_coding	0	1	0	85	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	1	58
TcIL3000.11.10770	TcIL3000.11.10770	TcIL3000.11.10770.1	protein_coding	0	0	1	75	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	63
TcIL3000.11.10780	TcIL3000.11.10780	TcIL3000.11.10780.1	protein_coding	0	0	1	62	0	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	0	46
TcIL3000.11.10790	TcIL3000.11.10790	TcIL3000.11.10790.1	protein_coding	0	0	1	48	0	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	0	0	22
TcIL3000.11.1080	TcIL3000.11.1080	TcIL3000.11.1080.1	protein_coding	0	9	1	78	0	0	1	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	9	50
TcIL3000.11.10800	TcIL3000.11.10800	TcIL3000.11.10800.1	protein_coding	1	17	4	59	0	0	0	0	0	50	1	0	0	4	0	0	0	0	0	0	0	0	17	9
TcIL3000.11.10810	TcIL3000.11.10810	TcIL3000.11.10810.1	protein_coding	0	5	1	74	0	0	0	0	0	25	0	0	0	1	0	0	0	0	0	0	0	0	5	49
TcIL3000.11.10820	TcIL3000.11.10820	TcIL3000.11.10820.1	protein_coding	0	0	3	68	0	0	0	0	0	13	0	0	0	3	0	0	0	0	0	0	0	0	0	55
TcIL3000.11.10830	TcIL3000.11.10830	TcIL3000.11.10830.1	protein_coding	0	3	2	72	0	0	0	0	0	22	0	0	0	2	0	0	0	0	0	0	0	0	3	50
TcIL3000.11.10840	TcIL3000.11.10840	TcIL3000.11.10840.1	protein_coding	1	3	0	50	0	0	0	0	0	35	1	0	0	0	0	0	0	0	0	0	0	0	3	15
TcIL3000.11.10850	TcIL3000.11.10850	TcIL3000.11.10850.1	protein_coding	0	1	1	88	0	0	0	0	0	66	0	0	0	1	0	0	0	0	0	0	0	0	1	22
TcIL3000.11.10860	TcIL3000.11.10860	TcIL3000.11.10860.1	protein_coding	0	3	3	112	0	0	0	0	0	88	0	0	0	3	0	0	0	0	0	0	0	0	3	24
TcIL3000.11.10880	TcIL3000.11.10880	TcIL3000.11.10880.1	protein_coding	0	9	6	168	0	0	0	0	0	91	0	0	0	6	0	0	0	0	0	0	0	0	9	77
TcIL3000.11.10890	TcIL3000.11.10890	TcIL3000.11.10890.1	protein_coding	0	15	21	195	0	0	0	0	0	102	0	0	0	21	0	0	0	0	0	0	0	0	15	93
TcIL3000.11.1090	TcIL3000.11.1090	TcIL3000.11.1090.1	protein_coding	0	7	4	86	0	0	0	0	0	11	0	0	0	4	0	0	0	0	0	0	0	0	7	75
TcIL3000.11.10900	TcIL3000.11.10900	TcIL3000.11.10900.1	protein_coding	1	2	3	185	0	0	0	0	0	87	1	0	0	3	0	0	0	0	0	0	0	0	2	98
TcIL3000.11.10910	TcIL3000.11.10910	TcIL3000.11.10910.1	protein_coding	2	4	4	173	0	0	0	0	0	85	1	0	0	4	0	0	0	0	1	0	0	0	4	88
TcIL3000.11.10990	TcIL3000.11.10990	TcIL3000.11.10990.1	protein_coding	0	15	2	149	0	0	0	0	0	37	0	0	0	2	0	0	0	0	0	0	0	0	15	112
TcIL3000.11.110	TcIL3000.11.110	TcIL3000.11.110.1	protein_coding	0	7	1	141	0	0	0	0	0	78	0	0	0	1	0	0	0	0	0	0	0	0	7	63
TcIL3000.11.1100	TcIL3000.11.1100	TcIL3000.11.1100.1	protein_coding	0	3	1	112	0	0	0	0	0	98	0	0	0	1	0	0	0	0	0	0	0	0	3	14
TcIL3000.11.11000	TcIL3000.11.11000	TcIL3000.11.11000.1	protein_coding	0	5	1	131	0	0	0	0	0	41	0	0	0	1	0	0	0	0	0	0	0	0	5	90
TcIL3000.11.11010	TcIL3000.11.11010	TcIL3000.11.11010.1	protein_coding	0	1	0	115	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	1	78
TcIL3000.11.11020	TcIL3000.11.11020	TcIL3000.11.11020.1	protein_coding	0	2	3	80	0	0	0	0	0	36	0	0	0	3	0	0	0	0	0	0	0	0	2	44
TcIL3000.11.11050	TcIL3000.11.11050	TcIL3000.11.11050.1	protein_coding	0	4	2	58	0	0	0	0	0	16	0	0	0	2	0	0	0	0	0	0	0	0	4	42
TcIL3000.11.11060	TcIL3000.11.11060	TcIL3000.11.11060.1	protein_coding	0	1	1	52	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	1	42
TcIL3000.11.11070	TcIL3000.11.11070	TcIL3000.11.11070.1	protein_coding	2	0	5	61	0	0	1	0	0	24	2	0	0	4	0	0	0	0	0	0	0	0	0	37
TcIL3000.11.11080	TcIL3000.11.11080	TcIL3000.11.11080.1	protein_coding	0	1	4	35	0	0	0	0	0	20	0	0	0	4	0	0	0	0	0	0	0	0	1	15
TcIL3000.11.11090	TcIL3000.11.11090	TcIL3000.11.11090.1	protein_coding	1	3	3	48	0	0	0	0	0	28	1	0	0	3	0	0	0	0	0	1	0	0	3	20
TcIL3000.11.11100	TcIL3000.11.11100	TcIL3000.11.11100.1	protein_coding	0	0	0	53	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	25
TcIL3000.11.11110	TcIL3000.11.11110	TcIL3000.11.11110.1	protein_coding	0	21	6	41	0	0	0	0	0	22	0	0	0	6	0	0	0	0	0	0	0	0	21	19
TcIL3000.11.11120	TcIL3000.11.11120	TcIL3000.11.11120.1	protein_coding	0	0	0	63	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	43
TcIL3000.11.11130	TcIL3000.11.11130	TcIL3000.11.11130.1	protein_coding	0	4	2	60	0	0	0	0	0	35	0	0	0	2	0	0	0	0	0	0	0	0	4	25
TcIL3000.11.11140	TcIL3000.11.11140	TcIL3000.11.11140.1	protein_coding	0	7	7	52	0	0	0	0	0	36	0	0	0	7	0	0	0	0	0	0	0	0	7	16
TcIL3000.11.11150	TcIL3000.11.11150	TcIL3000.11.11150.1	protein_coding	0	5	1	81	0	0	0	0	0	46	0	0	0	1	0	0	0	0	0	0	0	0	5	35
TcIL3000.11.11180	TcIL3000.11.11180	TcIL3000.11.11180.1	protein_coding	0	2	2	68	0	0	0	0	0	33	0	0	0	2	0	0	0	0	0	0	0	0	2	35
TcIL3000.11.1120	TcIL3000.11.1120	TcIL3000.11.1120.1	protein_coding	0	10	0	121	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	10	50
TcIL3000.11.11220	TcIL3000.11.11220	TcIL3000.11.11220.1	protein_coding	0	2	7	54	0	0	0	0	0	8	0	0	0	7	0	0	0	0	0	0	0	0	2	46
TcIL3000.11.11230	TcIL3000.11.11230	TcIL3000.11.11230.1	protein_coding	0	0	2	43	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	35
TcIL3000.11.11240	TcIL3000.11.11240	TcIL3000.11.11240.1	protein_coding	0	0	0	22	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	13
TcIL3000.11.11250	TcIL3000.11.11250	TcIL3000.11.11250.1	protein_coding	0	3	3	11	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	3	9
TcIL3000.11.11270	TcIL3000.11.11270	TcIL3000.11.11270.1	protein_coding	0	0	0	16	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	9
TcIL3000.11.11280	TcIL3000.11.11280	TcIL3000.11.11280.1	protein_coding	0	2	1	22	0	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	2	2
TcIL3000.11.11290	TcIL3000.11.11290	TcIL3000.11.11290.1	protein_coding	0	0	0	43	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	7
TcIL3000.11.11300	TcIL3000.11.11300	TcIL3000.11.11300.1	protein_coding	1	0	4	39	0	0	0	0	0	20	1	0	0	4	0	0	0	0	0	1	0	0	0	19
TcIL3000.11.11310	TcIL3000.11.11310	TcIL3000.11.11310.1	protein_coding	2	5	4	26	0	0	0	0	0	9	1	0	0	4	0	0	0	1	0	1	1	0	5	17
TcIL3000.11.11320	TcIL3000.11.11320	TcIL3000.11.11320.1	protein_coding	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
TcIL3000.11.11330	TcIL3000.11.11330	TcIL3000.11.11330.1	protein_coding	1	8	14	22	0	0	0	0	0	22	0	0	0	14	0	0	0	0	0	1	0	0	8	0
TcIL3000.11.11340	TcIL3000.11.11340	TcIL3000.11.11340.1	protein_coding	0	6	3	63	0	0	0	0	0	30	0	0	0	3	0	0	0	0	0	0	0	0	6	33
TcIL3000.11.11350	TcIL3000.11.11350	TcIL3000.11.11350.1	protein_coding	0	0	0	46	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	34
TcIL3000.11.11360	TcIL3000.11.11360	TcIL3000.11.11360.1	protein_coding	0	0	2	46	0	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	0	34
TcIL3000.11.11370	TcIL3000.11.11370	TcIL3000.11.11370.1	protein_coding	0	3	4	43	0	0	0	0	0	13	0	0	0	4	0	0	0	0	0	0	0	0	3	30
TcIL3000.11.11380	TcIL3000.11.11380	TcIL3000.11.11380.1	protein_coding	2	3	2	36	0	0	0	0	0	25	2	0	0	2	0	0	0	0	0	1	0	0	3	11
TcIL3000.11.11390	TcIL3000.11.11390	TcIL3000.11.11390.1	protein_coding	0	7	7	35	0	0	0	0	0	22	0	0	0	7	0	0	0	0	0	0	0	0	7	13
TcIL3000.11.1140	TcIL3000.11.1140	TcIL3000.11.1140.1	protein_coding	0	4	6	157	0	0	0	0	0	59	0	0	0	6	0	0	0	0	0	0	0	0	4	98
TcIL3000.11.11400	TcIL3000.11.11400	TcIL3000.11.11400.1	protein_coding	0	2	0	42	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	2	24
TcIL3000.11.11410	TcIL3000.11.11410	TcIL3000.11.11410.1	protein_coding	0	2	0	45	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	2	23
TcIL3000.11.11420	TcIL3000.11.11420	TcIL3000.11.11420.1	protein_coding	0	5	0	42	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	5	22
TcIL3000.11.11430	TcIL3000.11.11430	TcIL3000.11.11430.1	protein_coding	1	0	4	34	0	0	0	1	0	17	1	0	0	3	0	0	0	0	0	0	0	0	0	17
TcIL3000.11.11440	TcIL3000.11.11440	TcIL3000.11.11440.1	protein_coding	0	0	2	43	0	0	0	0	0	22	0	0	0	2	0	0	0	0	0	0	0	0	0	21
TcIL3000.11.11450	TcIL3000.11.11450	TcIL3000.11.11450.1	protein_coding	0	2	0	38	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	2	16
TcIL3000.11.11460	TcIL3000.11.11460	TcIL3000.11.11460.1	protein_coding	0	2	1	46	0	0	0	0	0	28	0	0	0	1	0	0	0	0	0	0	0	0	2	18
TcIL3000.11.11470	TcIL3000.11.11470	TcIL3000.11.11470.1	protein_coding	0	1	1	45	0	0	0	0	0	28	0	0	0	1	0	0	0	0	0	0	0	0	1	17
TcIL3000.11.11480	TcIL3000.11.11480	TcIL3000.11.11480.1	protein_coding	0	2	0	55	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	2	22
TcIL3000.11.11490	TcIL3000.11.11490	TcIL3000.11.11490.1	protein_coding	0	2	2	59	0	0	0	0	0	29	0	0	0	2	0	0	0	0	0	0	0	0	2	30
TcIL3000.11.11520	TcIL3000.11.11520	TcIL3000.11.11520.1	protein_coding	0	2	1	53	0	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	0	2	27
TcIL3000.11.11530	TcIL3000.11.11530	TcIL3000.11.11530.1	protein_coding	0	3	3	67	0	0	0	0	0	34	0	0	0	3	0	0	0	0	0	0	0	0	3	33
TcIL3000.11.11540	TcIL3000.11.11540	TcIL3000.11.11540.1	protein_coding	0	1	0	73	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	1	31
TcIL3000.11.11550	TcIL3000.11.11550	TcIL3000.11.11550.1	protein_coding	0	1	1	68	0	0	0	0	0	40	0	0	0	1	0	0	0	0	0	0	0	0	1	28
TcIL3000.11.11560	TcIL3000.11.11560	TcIL3000.11.11560.1	protein_coding	0	1	0	66	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	1	26
TcIL3000.11.11570	TcIL3000.11.11570	TcIL3000.11.11570.1	protein_coding	0	10	5	48	0	0	0	0	0	22	0	0	0	5	0	0	0	0	0	0	0	0	10	26
TcIL3000.11.11580	TcIL3000.11.11580	TcIL3000.11.11580.1	protein_coding	0	1	0	55	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1	42
TcIL3000.11.11590	TcIL3000.11.11590	TcIL3000.11.11590.1	protein_coding	0	0	1	54	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	39
